Client ID,Project ID,Branch,Year,Rating (0-10),Client Feedback,Langauage,Focus of Engagement,Type of Client,Feedback Submission Date,1. Net promoter score,2. Professionalism,2. Understanding,2. Deliverables,2. Recommendations,4. Most Valuable,5. Improvements,6a. Recommendations implementation,6b. Recommendations reasons,7 Help aims,8. Overall experience,9. Public Disclosure,10. Public Feedback,11. Will repeat?
2211,1474,Lulea University of Technology,2018,0,c. Average (0-5),Swedish,IT,Volunteering,1/29/2019 6:17,0,0,0,0,0,,,0,,0,,yes,yes,yes
1658,2392,Swarthmore College,2020,0,c. Average (0-5),English,Expansion,Women,6/2/2020 11:05,0,0,0,0,0,,,0,,0,,yes,yes,yes
810,2524,Tufts University,,0,c. Average (0-5),English,Expansion,Hunger/Poverty,7/26/2020 8:04,0,0,0,0,0,,,0,,0,,yes,yes,yes
1824,1880,University of Sydney,2020,0,c. Average (0-5),English,Expansion,Community Support,7/27/2020 9:05,0,0,0,0,0,,,0,,0,,yes,yes,yes
1113,2238,Goethe University of Frankfurt,,0,c. Average (0-5),German,Marketing,Children/Youth,12/8/2020 12:35,0,0,0,0,0,,,0,,0,,yes,yes,yes
535,1835,University of New South Wales,,0,c. Average (0-5),English,Marketing,Community Support,12/19/2019 3:09,0,4,5,4,5,Clear understanding of scope and value add brought by the intelligent and creative project team,The deliverable more than met scope,5,The deliverable more than met scope and is close to market ready,5,"excellent. Great team once again, keen to understand and deliver",yes,yes,yes
2167,2617,"University of California, Santa Barbara",2020,0,c. Average (0-5),English,Impact Measurement,International Aid,10/26/2020 18:44,0,5,5,5,5,"The team created a survey tool, with accompanying training, that we will use to measure the impact of a current project. ",I'm not sure. They accomplished the tasks and were a pleasure to work with. ,5,We are using the tool that they created. ,5,"It was a pleasure to work with 180 DC. They were professional, accomplished the tasks we requested and provided valuable insight into our project. ",yes,yes,yes
1846,234,Munich,2016,0,c. Average (0-5),,,,4/22/2016 5:31,0,3,4,4,4,The project provided the necessary boost internally to start talking about how we can better report our income and costs. It has provided the opportunity to discuss different alternatives and provided with a good framework we can start with.,"More involvement in the actual implementation of the ideas (vs. only conceptual work) would have been useful. Also, the organization of the team could have been better - several people left the project midway (or were very inactive) and were not properly replaced. At the beginning of the project, documents were not provided on time, this improved in the second half.",4,,4,The young and motivated team provided good ideas on how we can improve our reporting infrastructure and has focused the SOS Finance team's attention on this important topic.,yes,no,yes
117,1541,Columbia University,2018,0,c. Average (0-5),English,Market Analysis,Social Entrepreneurship (for-profit),2/22/2019 9:27,0,4,3,1,1,Professionalism and communication,Understanding the challenges of organisations,1,Got none so far,0,Well we never really worked on the challenges facing the company and solutions..So far i do not have much to say about the experience yet.,no,no,yes
1501,2399,"University of California, Irvine",2020,0,c. Average (0-5),English,Marketing,Social Entrepreneurship (for-profit),7/28/2020 15:29,0,5,5,5,4,Getting an assessment of all possible and likely paths towards marketing. The different ideas presented provided a credible overall approach to successful marketing.,"Actual execution of the suggestions. That is what we are working on now, and one member from the UC Irvine team is actually helping now as a volunteer.",5,"Yes, at least some of the recommendations, even if not all. We are figuring out how to allocate resources to the different channels.",4,"Very positive, because our work in assessing all possible options got easier, so we have a clear path forward, even if we don't have all the resources necessary to execute all teh parts. I would say ""made it much easier"" if we got more insight on how to secure the necessary resources for the tasks ahead, but that part is up to us. No free lunch here.",yes,yes,yes
